market,auction_date,auction_volume,clearing_price,currency,cover_ratio,reference_price,source,source_url,downloaded_at,notes
EUA,2024-04-05,1796000,57.17,EUR,2.23,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-04-08,3099500,58.41,EUR,1.77,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-09,3099500,61.3,EUR,1.72,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-10,2310000,63.0,EUR,2.19,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across PL.
EUA,2024-04-11,3099500,63.42,EUR,1.73,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-12,1796000,68.01,EUR,1.92,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-04-15,3099500,68.17,EUR,1.7,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-16,3099500,70.61,EUR,1.47,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-18,3099500,67.15,EUR,1.48,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-19,1796000,67.77,EUR,1.99,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-04-22,3099500,65.1,EUR,1.56,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-23,3099500,64.28,EUR,1.57,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-24,2310000,65.35,EUR,2.0,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across PL.
EUA,2024-04-25,3099500,65.08,EUR,1.68,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-26,1796000,65.66,EUR,1.92,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-04-29,3099500,63.52,EUR,1.5,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-30,3099500,65.26,EUR,1.42,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-02,3099500,68.1,EUR,1.66,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-03,1796000,71.18,EUR,1.85,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-05-06,3099500,70.3,EUR,1.72,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-07,3099500,69.16,EUR,1.43,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-08,2310000,68.99,EUR,1.84,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across PL.
EUA,2024-05-13,3099500,68.48,EUR,1.67,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-14,3099500,67.67,EUR,1.5,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-15,906000,69.35,EUR,2.61,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-16,3099500,68.26,EUR,1.52,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-17,1796000,69.46,EUR,1.98,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-05-20,3099500,71.24,EUR,1.37,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-21,3099500,71.8,EUR,1.51,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-05-22,2310000,74.31,EUR,1.5,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across PL.
